hcpcs_code,line_srvc_cnt,bene_unique_cnt,num_physicians_cnt,submitted_chrg_to_allowed_amt,average_submitted_chrg_amt,hcpcs_description,l_average_submitted_chrg_amt,l_submitted_chrg_to_allowed_amt,l_bene_unique_cnt,l_line_srvc_cnt,l_num_physicians_cnt,cluster
00350,7829.0,7665.0,497,6.295537872480597,2077.9697777496276,Anesthesia for procedure on major blood vessels of neck,7.639146627640814,1.8398411082433812,8.944419791305915,8.965590066907914,6.208590026096629,4
00400,169735.0,165408.0,9927,7.405874554669446,826.001351165065,"Anesthesia for procedure on skin of arms, legs, or trunk",6.716596409312697,2.0022735440100567,12.016170427995766,12.041993676273501,9.203013596589722,4
00402,1085.0,1003.0,73,7.039886192510376,1606.319576040701,Anesthesia for breast reconstruction,7.381700863528431,1.9515920042026882,6.910750787961936,6.98933526597456,4.290459441148391,4
00410,21257.0,20495.0,1142,7.094672092173241,567.0117373097335,Anesthesia for procedure to correct abnormal heart rhythm,6.340380004236129,1.9593440927960215,9.927936232938437,9.964441531873126,7.040536390215956,4
00520,35631.0,34348.0,1831,7.11300622533677,1068.205171339968,Anesthesia for closed procedure in chest,6.973735109065987,1.9619249709565019,10.444299071792376,10.48097132444235,7.5126175446745105,4
00530,16323.0,16242.0,842,7.658986347443217,1243.19903449006,Anesthesia for insertion of permanent heart pacemaker,7.125443202980247,2.035879644375041,9.695355758842355,9.700330435154035,6.7357800142423265,4
00532,28004.0,27405.0,1737,6.982554110158647,830.6718350945971,Anesthesia for central vein access,6.722234813243871,1.9434147682033227,10.218480757480217,10.240102636097088,7.459914766241105,4
00534,14168.0,14037.0,689,7.060668755435876,1591.6317087789632,Anesthesia for insertion or replace of pacing heart defibrillator,7.372515000934721,1.9545397715850505,9.549451979534325,9.55874117946267,6.535241271013659,4
00537,36907.0,36478.0,1606,7.595230480279536,2399.2219413670623,Anesthesia for procedure on heart to correct abnormal rhythm,7.782899772677686,2.027520481904549,10.504464618123944,10.516156513934508,7.381501894506707,4
00541,7429.0,7382.0,433,6.211137152968651,3202.8977143626257,Anesthesia for procedure in chest with 1 lung ventilation,8.071811214775995,1.826343995601695,8.906799883589944,8.913146539151807,6.07073772800249,4
00560,18278.0,18125.0,918,6.085439635580328,3180.2386212959864,Anesthesia for procedure on heart and great blood vessels,8.064711511102393,1.8058989728979067,9.805047479722875,9.813453429832148,6.822197390620491,4
00562,34921.0,34816.0,1778,5.61333774812128,4541.42940264977,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure",8.420997087880295,1.7251455066281751,10.457832330215615,10.460843646427818,7.48324441607385,4
00563,1291.0,1287.0,75,6.064077630949703,5878.251463979395,Anesthesia for procedure on heart and great blood vessels on heart-lung machine,8.679014626597894,1.8023824501957424,7.160069207596127,7.1631723908466425,4.31748811353631,4
00566,2282.0,2278.0,122,5.5485787274319005,4547.437677473342,Anesthesia for heart artery bypass grafting,8.422319205509655,1.7135418098155375,7.731053144007127,7.732807530422021,4.804021044733257,4
00567,31101.0,31055.0,1686,6.063609782969126,4316.910665893451,Anesthesia for heart artery bypass grafting on heart-lung machine,8.370295301779503,1.8023052964953143,10.343515104993404,10.344995251991222,7.430114138561801,4
00600,2317.0,1737.0,90,5.878679708906008,1595.7871687519248,Anesthesia for procedure on upper spine and spinal cord,7.375122416205136,1.771332197396113,7.459914766241105,7.748028524432376,4.499809670330265,4
00630,36339.0,32809.0,1735,6.628446130436868,1693.6358595433794,Anesthesia for procedure on lower spine,7.434632893157776,1.89137040726242,10.398458146978019,10.500646823684912,7.45876269238096,4
00670,106463.0,105438.0,5537,6.843970387141267,2932.4841315757108,Anesthesia for procedure on spine and spinal cord,7.98360516928561,1.9233680291855872,11.565878381422902,11.575552785927682,8.619208116822968,4
00740,1663947.0,1626000.0,40362,6.82604587482277,807.983100170935,Anesthesia for procedure on gastrointestinal tract using an endoscope,6.69454114267233,1.9207455710629826,14.301633569089892,14.3247030488945,10.60564402725366,4
00790,251779.0,250023.0,14581,6.746140445714891,1654.5352734737698,Anesthesia for procedure in upper abdomen including use of an endoscope,7.41127544685261,1.9089705555325707,12.429308192612643,12.43630699759102,9.587474590316285,4
00797,4123.0,4091.0,245,6.440980941976089,1995.7680329867176,Anesthesia for procedure on stomach for obesity including use of an endoscope,7.598784234179296,1.8626808486993436,8.316544717929398,8.3243363327069,5.501258210544727,4
00810,2106406.0,2093683.0,35984,6.48063583312096,819.7088204839357,Anesthesia for procedure on lower intestine using an endoscope,6.7089491802256305,1.868818627945706,14.554435274043502,14.56049373562201,10.490829674199096,4
00830,10021.0,9987.0,696,7.223201772051428,1045.7878964171682,Anesthesia for lower abdominal hernia repair,6.952525848171248,1.9772983133388555,9.209039526243135,9.212438170058329,6.54534966033442,4
00840,69244.0,68718.0,4541,7.3628309005858625,1633.2107233837235,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,7.398303125296828,1.9964444920201605,11.13776645262577,11.14539177769662,8.420902531097951,4
00860,2390.0,2330.0,143,6.94088994920311,1278.1606150625985,Anesthesia for procedure in lower abdomen including urinary tract,7.153177303928594,1.9374300010528311,7.753623546559746,7.779048644925556,4.962844630259907,4
00862,2823.0,2762.0,170,7.010786911856998,2034.9191215018516,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant,7.618211353353159,1.9474499503607166,7.923710333969238,7.945555428253489,5.135798437050262,4
00865,1705.0,1705.0,101,6.625369830934749,2492.4659178887036,Anesthesia for removal of prostate,7.821027827876389,1.8909061938515308,7.4413203897176174,7.4413203897176174,4.61512051684126,4
00868,1141.0,1139.0,71,5.672395574742184,2702.7808063118937,Anesthesia for kidney transplant,7.902036450243855,1.7356115284662164,7.037905963447182,7.039660349862076,4.2626798770413155,4
00873,18215.0,17089.0,884,6.48294871860028,905.0800252550285,Anesthesia for shock wave therapy for urinary system stones,6.808023365486769,1.8691754560274194,9.746190260646909,9.810000709442663,6.784457062637643,4
00902,13677.0,13346.0,597,6.079084058476471,804.6449893971649,Anesthesia for procedure on anus and rectum,6.690401173186351,1.804854036352588,9.498971993463552,9.523470868881551,6.391917113392602,4
00910,175275.0,168306.0,8139,7.1320975994739895,673.9434132077444,Anesthesia for procedure on urinary system including use of an endoscope,6.513146150722681,1.9646053846344027,12.033539030167315,12.074111448075168,9.004422601327041,4
00912,14538.0,13894.0,826,6.944967535488838,959.1407463201522,Anesthesia for removal of urinary bladder tumors including use of an endoscope,6.866037827743649,1.9380173016797355,9.539212371252827,9.584521190044581,6.716594773520978,4
00914,14348.0,14250.0,869,6.660566549226779,1139.5993915533497,Anesthesia for removal of prostate including use of an endoscope,7.038432068711141,1.8962045483857357,9.564512185696797,9.571365838652174,6.767343125265392,4
00918,12216.0,11821.0,749,7.298053755791286,1000.2447642439765,"Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope",6.908000013276233,1.987607703812188,9.377632889750377,9.410501846898468,6.618738983517219,4
00920,793.0,786.0,51,5.629620220189141,637.3885119789912,Anesthesia for procedure on male genitalia,6.457379378568526,1.7280419834267795,6.666956792429207,6.675823221634848,3.9318256327243257,4
00952,2839.0,2825.0,188,8.006636214052227,831.4441317381611,Anesthesia for examination of uterus using an endoscope,6.723164106644035,2.080270724569196,7.946263643580541,7.951207156472972,5.236441962829949,4
01112,5702.0,5498.0,212,6.754747792681163,676.1106874787233,Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone,6.516356801513069,1.9102456343244925,8.612139668725192,8.648572269472618,5.356586274672012,4
01200,1727.0,1513.0,86,6.723840420101509,602.2027214830872,Anesthesia for closed procedure on hip joint,6.400594135272041,1.9056594823827513,7.321849713788356,7.454141078146678,4.454347296253507,4
01210,8774.0,8701.0,600,6.8369841611759785,1368.838396398432,Anesthesia for open surgical procedure on hip joint,7.221717773323097,1.9223467222953592,9.071193240566025,9.07954808172616,6.396929655216146,4
01214,77273.0,76789.0,4262,6.985060062583644,1803.0420864987336,Anesthesia for open total hip joint replacement,7.497230565414931,1.943773591467037,11.24881667971082,11.255099885073665,8.357493812658563,4
01230,30557.0,30421.0,2097,7.131967908594525,1412.961950780599,Anesthesia for open procedure on upper two-thirds of thigh bone,7.253443454353526,1.964587200354557,10.32288843838277,10.327349070922441,7.64826303090192,4
01270,3666.0,3521.0,215,6.406921927347214,2265.529048007493,Anesthesia for procedure on arteries of upper leg,7.725563585921923,1.8573789570585595,8.166500319155052,8.20685642839965,5.3706380281276624,4
01400,68242.0,67705.0,3673,6.586029729471825,855.6795348905465,Anesthesia for open or endoscopic procedure on knee including,6.751895930918012,1.8849506979846502,11.122915311416925,11.130815490059645,8.208764045819667,4
01402,268130.0,265738.0,12516,6.703177036331478,1654.6012337675359,Anesthesia for open or endoscopic total knee joint replacement,7.411315312414898,1.9025815985340515,12.490266139963595,12.499227216509194,9.434763104788773,4
01470,1960.0,1869.0,115,5.872586915978093,724.9806224472886,"Anesthesia for procedure on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot",6.586144926838572,1.7702952379485295,7.533158807455563,7.580699752224563,4.74493212836325,4
01480,98942.0,96822.0,5945,6.9254566317722865,941.3320807141248,"Anesthesia for open procedure on bones of lower leg, ankle and foot",6.84729597925801,1.9352039895055884,11.480629520169407,11.502289098848669,8.690305809124883,4
01610,6363.0,6260.0,407,7.6481189419467634,1383.736863115651,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of shoulder and underarm",7.232542990294422,2.034459727660957,8.741935464094144,8.758255243232792,6.008813185442595,4
01630,51922.0,51592.0,2899,6.39341761055517,1186.1559327445423,Anesthesia for open or endoscopic procedure at upper arm and shoulder joint including,7.078473048777392,1.8552689627475112,10.851121900690213,10.857497871437298,7.972121128921655,4
01638,8524.0,8445.0,510,6.796484224221737,2098.9873815100973,Anesthesia for open or endoscopic total shoulder joint replacement,7.649210308135149,1.9164054526283643,9.041329829241901,9.050640993218508,6.234410725718371,4
01810,136659.0,133222.0,6176,6.6207863881561035,641.3634070204345,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of forearm, wrist, and hand",6.46359623390163,1.8902141526456502,11.799772188615327,11.825244050877878,8.728426091704613,4
01830,17984.0,17620.0,1051,6.623376745127088,896.5105071173825,"Anesthesia for open or endoscopic procedure on bones of forearm, wrist, or hand",6.79851001312975,1.8906053222466204,9.77678989949017,9.797237752693418,6.957497370876951,4
01844,63101.0,59171.0,3105,6.975693399693232,1458.7585646829812,Anesthesia for placement or revision of blood flow shunt,7.285341054831504,1.9424317349087685,10.98818683598424,11.052491896264268,8.040768994367578,4
01916,10582.0,9939.0,407,6.96959408992937,1318.0064562454509,Anesthesia for diagnostic X-ray procedure on arteries or veins,7.183875613567489,1.9415569863376365,9.204221690968005,9.266909723464076,6.008813185442595,4
0191T,42241.1,28578.0,1047,2.7042220452175085,3450.4259122039048,Internal insertion of eye fluid drainage device,8.14625295521846,0.994814272123443,10.260392470028915,10.651148959707731,6.953684210870537,4
01920,5656.0,5608.0,126,5.218100071925458,1092.5767256042557,Anesthesia for procedure on heart vessels and chambers,6.996294153889823,1.652133364745558,8.631949428714426,8.640472207576408,4.836281906951478,4
01922,66064.0,65021.0,3262,7.318415306387124,1213.065211915508,Anesthesia for X-ray or radiation therapy,7.100905668352662,1.9903938163377872,11.08246557362274,11.098379248125871,8.09009578318096,4
01924,20711.0,17881.0,588,5.562157229229344,1159.4461740145841,Anesthesia for X-ray procedure on arteries,7.055697733897137,1.7159860238820843,9.791493975575204,9.938420239076152,6.376726947898627,4
01925,2764.0,2710.0,95,6.790557135365785,1637.8629233036427,Anesthesia for X-ray procedure on neck or heart artery,7.4011475755043845,1.9155329905411358,7.904703913873747,7.92443418488756,4.553876891600541,4
01926,3655.0,3615.0,232,6.146805007597933,2199.2562653910113,"Anesthesia for X-ray procedure on artery in brain, heart, or major vessel of chest (aorta)",7.695874521004939,1.8159324358661666,8.192847134592865,8.203851372183879,5.44673737166631,4
01930,11114.0,8865.0,290,6.245646719365222,1085.6971279468223,Anesthesia for X-ray procedure on vein or lymph system,6.989977573887363,1.8318846961605786,9.089866218508309,9.315960853839867,5.66988092298052,4
01935,9662.0,7380.0,220,7.133261334848564,857.496092941009,Anesthesia for diagnostic X-ray procedure (accessed through the skin) on spine and spinal cord,6.754016622692699,1.9647685400632307,8.906528917594517,9.175955945114351,5.393627546352362,4
01936,195888.0,154222.0,3734,8.179667270331981,1031.5682142346986,Anesthesia for X-ray procedure (accessed through the skin) on spine and spinal cord,6.938835461429636,2.1016514737888294,11.94614840178944,12.185298346313697,8.225235324101668,4
01991,14278.0,10406.0,359,8.568032499757743,731.9406786656089,Anesthesia for nerve block and injection procedure,6.5956994706030825,2.1480381262939194,9.250137841850249,9.566475170062406,5.883322388488279,4
01992,275995.0,204598.0,4073,7.464609523491357,907.2106532362409,"Anesthesia for nerve block and injection procedure, prone position",6.810374675889814,2.010173121986271,12.22880235728082,12.528138028593162,8.312135107648412,4
0295T,3264.0,3147.0,103,4.436185975095386,669.747781862794,"External EKG recording for more than 48 hours up to 21 days with analysis, report, review and interpretation",6.506901196530908,1.489794992661493,8.054204897064407,8.090708716083997,4.634728988229636,4
11044,28488.0,10762.0,544,2.6597484725927623,680.8209618086877,Removal of skin and bone first 20 sq cm or less,6.523299366750921,0.9782315591469537,9.283776690049365,10.257238224957614,6.298949246855942,4
11404,2052.0,1768.0,95,3.5480010987739736,734.6790545792677,"Removal of growth (3.1 to 4.0 centimeters) of the trunk, arms, or legs",6.599433743412535,1.2663843741355527,7.477604243197589,7.62657020629066,4.553876891600541,4
11406,1396.0,1267.0,71,3.9690647358909557,1280.0651719198713,"Removal of growth (4.0 centimeters) of the trunk, arms, or legs",7.154666271179909,1.3785304840460852,7.144407180321139,7.241366283322318,4.2626798770413155,4
11606,10396.0,9268.0,395,2.576114986698075,1024.2603030010155,"Removal of malignant growth (over 4.0 centimeters) of the trunk, arms, or legs",6.93172597544499,0.946282444939227,9.134322885552267,9.249176395761381,5.978885764901122,4
11626,959.0,885.0,55,3.5711941386591994,1193.9779666332847,"Removal of malignant growth (over 4.0 centimeters) of the scalp, neck, hands, feet, or genitals",7.085045840376322,1.272900032482987,6.785587645007929,6.8658910748834385,4.007333185232471,4
11643,17631.0,15789.0,656,2.983356213188561,628.4014145538664,"Removal of malignant growth (2.1 to 3.0 centimeters) of the face, ears, eyelids, nose, or lips",6.443179157419459,1.093048912814462,9.667068774021889,9.77741399528076,6.486160788944089,4
11644,4057.0,3552.0,142,2.667124041001819,849.6443529710747,"Removal of malignant growth (3.1 to 4.0 centimeters) of the face, ears, eyelids, nose, or lips",6.7448178536578745,0.981000753680328,8.17526610411206,8.308199063206446,4.955827057601261,4
11646,1953.0,1765.0,98,2.7116463271070588,1333.9288479271788,"Removal of malignant growth (over 4.0 centimeters) of the face, ears, eyelids, nose, or lips",7.195883887667157,0.9975559512152248,7.475905969367397,7.577121930876679,4.584967478670572,4
12001,17616.0,15890.0,1051,5.597507136171812,310.47235524519334,"Repair of wound (2.5 centimeters or less) of the scalp, neck, underarms, trunk, arms and/or legs",5.738094864383106,1.7223213443755006,9.673445259530762,9.77656285896246,6.957497370876951,4
12002,9258.0,8360.0,559,5.411443123191999,384.7175999136461,"Repair of wound (2.6 to 7.5 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs",5.952509558422307,1.6885158083387795,9.031213706078747,9.133243321591216,6.326149473155099,4
12034,5717.0,5409.0,278,2.8506713913553083,587.4648644389454,"Repair of wound (7.6 to 12.5 centimeters) of the scalp, underarms, trunk, arms, and/or legs",6.375816439019605,1.047554542451054,8.595819511871428,8.651199471263972,5.627621113690637,4
12053,2622.0,2535.0,129,2.7231997051067696,573.7178146460603,"Repair of wound (5.1 to 7.5 centimeters) of face, ears, eyelids, nose, lips, and/or mouth",6.352137663323834,1.0018075511076823,7.837948916025283,7.871692664323645,4.859812404361672,4
13131,25801.0,24643.0,846,2.822320510493727,659.4178241152381,"Repair of wound (1.1 to 2.5 centimeters) of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",6.4913573610809765,1.0375594226347364,10.112248163482885,10.158168529848494,6.740519359606223,4
13132,242555.0,217286.0,3142,3.218865709519242,935.5739389833526,"Repair of wound (2.6 to 7.5 centimeters) of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",6.841160179451776,1.1690290333722766,12.288969737109644,12.39898376776722,8.052614818815567,4
13151,22281.0,21765.0,833,3.1117607230725457,753.8620771064507,"Repair of wound (1.1 to 2.5 centimeters) of eyelids, nose, ears, and/or lips",6.625209429666276,1.1351887148872426,9.988058453986397,10.011489576337405,6.725033642166843,4
13152,40839.0,39568.0,1239,3.475411569281321,987.7485185731289,"Repair of wound (2.6 to 7.5 centimeters) of eyelids, nose, ears, and/or lips",6.895428129490962,1.2457129092068815,10.585775989761197,10.617392786180583,7.122059881629142,4
13160,1746.0,1474.0,90,2.6911639871316715,1984.180148906999,Second repair of surgical wound,7.592961084583052,0.9899738089931002,7.295735072749282,7.465082736399547,4.499809670330265,4
14000,4774.0,4171.0,173,2.6858141292652937,1449.678944281152,Tissue transfer repair of wound (10 sq centimeters or less) of the trunk,7.279097393160957,0.9879838958798566,8.335911094196945,8.470939806898775,5.153291594497779,4
14001,4295.0,3800.0,152,2.200626078438587,1512.902407450468,Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the trunk,7.321785209031477,0.7887419009871959,8.242756345714477,8.365206834418355,5.0238805208462765,4
14020,13125.0,11224.0,362,2.0749754325425087,1370.8683055239221,"Tissue transfer repair of wound (10 sq centimeters or less) of the scalp, arms, and/or legs",7.223199617708494,0.7299493138740214,9.325809621782296,9.482274087459825,5.8916442118257715,4
14021,12443.0,10775.0,338,1.7758159995762948,1468.7335023699422,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the scalp, arms, and/or legs",7.292155745400409,0.5742600353605531,9.28498391497195,9.428913494775632,5.823045895483019,4
14040,53787.0,48007.0,1433,2.1343564923922504,1501.7047517071994,"Tissue transfer repair of wound (10 sq centimeters or less) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",7.314356242899914,0.758165192532278,10.779102112590714,10.892787081263537,7.267525427828172,4
14041,34941.0,31868.0,973,1.882462460930981,1658.0651398071814,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",7.413406623106339,0.6325807394205657,10.369357650500257,10.461416203770762,6.880384082186005,4
14060,80519.0,75943.0,2403,2.3279883528236094,1681.6930222678586,"Tissue transfer repair of wound (10 sq centimeters or less) of eyelids, nose, ears, and/or lips",7.427556316306716,0.8450045267740339,11.237738337877763,11.296248460401893,7.784473235736469,4
14061,22357.0,21328.0,728,2.095078947164386,1950.6861014415817,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of eyelids, nose, ears, and/or lips",7.575936436567308,0.7395912362747771,9.96777604241849,10.014894750110258,6.590301048196686,4
14301,21993.0,19864.0,672,2.5630837105748685,2460.8617660157365,Tissue transfer repair of wound (30.1 to 60.0 sq centimeters),7.808266878970211,0.9412111080170709,9.896664327188002,9.998479499891696,6.51025834052315,4
14302,13248.0,3762.0,164,4.20892051746566,942.33543704748,Tissue transfer repair of wound (30.0 sq centimeters),6.848361301475213,1.4372062056627928,8.232706009860976,9.49160187662504,5.099866427824199,4
15002,9517.0,5916.0,259,4.018433835615487,930.7525880005312,"Preparation of graft site at trunk, arms, or legs (first 100 sq cm or 1% body area infants and children)",6.835993493302849,1.3908922335893332,8.68541582383069,9.160834952072344,5.556828061699537,4
15004,15842.0,12022.0,403,3.4233006357569464,999.0778740054013,"Preparation of graft site of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or 1% body area of infants and children)",6.906832727567816,1.230605183841235,9.394493583599107,9.670419920024225,5.998936561946683,4
15100,3698.0,3337.0,202,3.6559262462855946,2490.2802028125698,"Skin graft at trunk, arms, or legs (first 100 sq cm or less, or 1% body are of infants and children)",7.820150514377615,1.2963494800529691,8.112827478751374,8.21554741194707,5.308267697401205,4
15101,6222.0,712.0,45,5.28894095537082,589.5587753132963,"Skin graft at trunk, arms, or legs",6.379374418677059,1.6656180283555844,6.568077911411976,8.735846677457582,3.8066624897703196,4
15120,2459.0,2296.0,116,3.0363634009494813,2145.738930459655,"Skin graft of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or less, or 1% body area of infants and children)",7.671239261763937,1.1106605496526731,7.738923757439457,7.807510042216193,4.7535901911063645,4
15220,2924.0,2687.0,126,2.1376990273272587,1410.7288166886387,"Relocation of patient skin (20 sq centimeters or less) to scalp, arms, and/or legs",7.251861741098476,0.7597300296939935,7.8961806086154915,7.980707820869669,4.836281906951478,4
15240,4088.0,3883.0,198,2.203242169912504,1770.144593933752,"Relocation of patient skin to forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet (20 sq centimeters or less)",7.478816513719303,0.7899299891106887,8.264363329731667,8.31581113188354,5.288267030694535,4
15260,45955.0,44436.0,1409,2.063598768955827,1882.6694614298178,"Relocation of patient skin to nose, ears, eyelids, and/or lips (20 sq centimeters or less)",7.540445974974379,0.7244514338364386,10.701805230701613,10.73541793579221,7.25063551189868,4
15271,35680.0,11375.0,526,4.771313255638009,490.48921076216266,"Application of skin substitute (wound surface up to 100 sq cm) to trunk, arms, or legs (first 25 sq cm or less)",6.195403282356078,1.562621582655233,9.33917324381915,10.482345586693945,6.26530121273771,4
15275,36565.0,13125.0,603,3.6967941617091276,461.2856934227876,"Application of skin substitute (wound surface up to 100 sq cm) to face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 25 sq cm or less)",6.134017576475186,1.3074660012903547,9.482274087459825,10.506846777705052,6.401917196727186,4
15576,2143.0,1959.0,85,3.1037165432876845,1831.762552497924,"Creation of flap graft to eyelids, nose, ears, lips, or mouth",7.513033925751914,1.132600278333952,7.580189417944541,7.669961995473577,4.442651256490317,4
15630,1468.0,1388.0,67,3.800430180524337,1618.2663010895983,"Transfer of skin flap to eyelids, nose, ears, or lips",7.389110670657503,1.3351142657262334,7.23561914106675,7.291656209174461,4.204692619390966,4
15732,8717.0,6961.0,266,3.788873785943777,3488.2545818545723,Muscle flap wound repair at head and neck,8.157156770282404,1.3320688208307614,8.848078421168667,9.073030421011577,5.583496308781699,4
15734,7719.0,4398.0,221,6.1243169394909325,5702.542031369904,Muscle flap wound repair at trunk,8.648667324823165,1.8122672301288507,8.388905171114706,8.951440100949855,5.3981627015177525,4
15738,1379.0,884.0,47,4.027086968073252,4197.745627261784,Muscle flap wound repair of leg,8.342302904752843,1.3930432778797899,6.784457062637643,7.229113877793302,3.8501476017100584,4
15740,997.0,760.0,25,3.871134374007848,2797.8075827527578,Creation of skin and tissue graft,7.936591383294129,1.3535475839891147,6.633318433280377,6.904750769961838,3.2188758248682006,4
15770,738.0,691.0,28,4.4638752643444475,1861.1089972904874,"Creation of skin, fat and muscle graft",7.528927824132133,1.4960172821134403,6.53813982376767,6.6039438246004725,3.332204510175204,4
15777,929.0,850.0,49,3.9281347489461504,939.322346607481,Implantation of biologic implant to soft tissue,6.845158707420638,1.368164694625351,6.745236349484363,6.834108738813838,3.8918202981106265,4
15823,90517.0,65656.0,1788,4.047957623020678,2612.1817531511447,Removal of excessive skin and fat of upper eyelid,7.867941071877137,1.398212463308994,11.092184269309547,11.413292957351166,7.488852955733459,4
19081,30260.0,30000.0,1662,4.073162013656073,1332.698180765033,Biopsy of breast accessed throught the skin with stereotactic guidance,7.194960873510114,1.4044196053502704,10.308952660644293,10.317581987342347,7.415776975415394,4
19083,75074.0,74067.0,3399,3.67035423901334,1244.4314560299986,Biopsy of breast accessed throught the skin with ultrasound guidance,7.126434042773749,1.3002881803003625,11.212725367959475,11.2262295727495,8.131236549696116,4
19084,898.0,728.0,49,3.142761118226132,738.7126503330178,Biopsy of breast accessed throught the skin with ultrasound guidance,6.604909009517364,1.145101750544556,6.590301048196686,6.8001700683022,3.8918202981106265,4
19120,1673.0,1628.0,87,3.736478822307161,2370.860603695804,"Removal of 1 or more breast growth, open procedure",7.771008292137922,1.318143676583349,7.395107546562485,7.422373700986824,4.465908118654584,4
19125,5900.0,5844.0,327,3.6905154157928535,2148.5181559328257,"Removal of breast growth, open procedure",7.6725336536949715,1.305766127374876,8.67317077287059,8.68270762989381,5.7899601708972535,4
19281,10114.0,10049.0,591,3.9265969959936218,479.30783863960363,Placement of breast localization devices accessed through the skin with mammographic guidance,6.172343060381122,1.367773146442139,9.21522840604896,9.221675881639928,6.3818160174060985,4
19283,963.0,956.0,59,4.969702339715563,749.5898027007372,Placement of breast localization devices accessed through the skin with stereotactic guidance,6.619526127177383,1.6033599469096562,6.862757913051401,6.870053411798126,4.07753744390572,4
19285,5518.0,5488.0,320,5.02035123058036,649.2197934034452,Placement of breast localization devices accessed through the skin with ultrasound guidance,6.475771324090393,1.6134998975071815,8.610319169405722,8.615770754777232,5.768320995793772,4
